종목명,종목코드,시장,파일명,raw_url
동화약품,000020,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
KR모터스,000040,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
경방,000050,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
삼양홀딩스,000070,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
하이트진로,000080,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
유한양행,000100,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
CJ대한통운,000120,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
하이트진로홀딩스,000140,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
두산,000150,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
성창기업지주,000180,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
DL,000210,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
유유제약,000220,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
일동홀딩스,000230,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
한국앤컴퍼니,000240,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
삼천당제약,000250,KOSDAQ,KOSDAQ_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSDAQ/KOSDAQ_001_050.csv
기아,000270,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
DH오토넥스,000300,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
노루홀딩스,000320,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
한화손해보험,000370,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
SP삼화,000390,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
롯데손해보험,000400,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
대원강업,000430,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
CR홀딩스,000480,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
대동,000490,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
가온전선,000500,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
삼일제약,000520,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
흥국화재,000540,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
CS홀딩스,000590,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
동아쏘시오홀딩스,000640,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
천일고속,000650,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
SK하이닉스,000660,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
영풍,000670,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
LS네트웍스,000680,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
유수홀딩스,000700,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
현대건설,000720,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
이화산업,000760,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
삼성화재,000810,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
