종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
나노캠텍,091970,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),100.88,4.10,13.40,100.88,4.10,13.40
나노캠텍,091970,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),97.51,-109.65,-141.47,97.51,-109.65,-141.47
나노캠텍,091970,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),121.76,7.21,25.47,121.76,7.21,25.47
나노캠텍,091970,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),470.66,-104.85,-137.55,150.51,-6.51,-34.94
나노캠텍,091970,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),139.33,-2.22,-0.53,139.33,-2.22,-0.53
나노캠텍,091970,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),131.56,-2.32,-110.57,131.56,-2.32,-110.57
나노캠텍,091970,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),112.82,-5.91,8.25,112.82,-5.91,8.25
나노캠텍,091970,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),501.64,-24.45,-171.52,117.92,-14.00,-68.67
나노캠텍,091970,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),89.83,-5.76,-2.65,89.83,-5.76,-2.65
나노캠텍,091970,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),104.95,-2.32,-32.01,104.95,-2.32,-32.01
나노캠텍,091970,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),119.28,0.54,-8.25,119.28,0.54,-8.25
나노캠텍,091970,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),424.01,-18.44,-61.15,109.95,-10.90,-18.24
나노캠텍,091970,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),117.16,-9.80,-10.89,117.16,-9.80,-10.89
나노캠텍,091970,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),117.27,-10.22,7.08,117.27,-10.22,7.08
나노캠텍,091970,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),183.48,11.73,14.96,183.48,11.73,14.96
나노캠텍,091970,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),555.10,1.78,-37.02,137.19,10.07,-48.17
나노캠텍,091970,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),85.04,-11.06,-16.83,85.04,-11.06,-16.83
나노캠텍,091970,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),77.12,-10.23,-14.91,77.12,-10.23,-14.91
나노캠텍,091970,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),133.38,8.56,-1.02,133.38,8.56,-1.02
나노캠텍,091970,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),501.11,-2.62,-102.06,205.57,10.11,-69.31
나노캠텍,091970,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),85.61,-13.86,-15.58,85.61,-13.86,-15.58
아미코젠,092040,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),306.46,8.04,-13.57,306.46,8.04,-13.57
아미코젠,092040,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),314.57,0.47,474.98,314.57,0.47,474.98
