종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
에쓰씨엔지니어링,23960,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),별도(OFS),77.7,-26.2,-6.2,77.7,-26.2,-6.2
에쓰씨엔지니어링,23960,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),별도(OFS),136,-18.5,-8.1,136,-18.5,-8.1
에쓰씨엔지니어링,23960,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),205.9,0.1,-7.8,205.9,0.1,-7.8
에쓰씨엔지니어링,23960,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),757.2,-66.3,-79.2,337.6,-21.7,-57.1
에쓰씨엔지니어링,23960,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),289.4,7.1,8.3,289.4,7.1,8.3
에쓰씨엔지니어링,23960,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),364.5,14.2,3.5,364.5,14.2,3.5
에쓰씨엔지니어링,23960,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),298.9,6,21.2,298.9,6,21.2
에쓰씨엔지니어링,23960,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),1372.2,77.8,71.4,419.4,50.5,38.4
에쓰씨엔지니어링,23960,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),319.4,2.1,-4.3,319.4,2.1,-4.3
에쓰씨엔지니어링,23960,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),336.5,10.2,7.3,336.5,10.2,7.3
에쓰씨엔지니어링,23960,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),345.6,-7.4,-11.6,345.6,-7.4,-11.6
에쓰씨엔지니어링,23960,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),1359.8,9.8,-23.6,358.3,4.9,-15
에쓰씨엔지니어링,23960,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),219.7,-18.5,-12.3,219.7,-18.5,-12.3
에쓰씨엔지니어링,23960,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),522.4,35.8,25,522.4,35.8,25
에쓰씨엔지니어링,23960,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),528.4,28.6,27.8,528.4,28.6,27.8
에쓰씨엔지니어링,23960,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),1798.8,65.6,37.2,528.3,19.7,-3.3
