종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
SK스퀘어,402340,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
SK스퀘어,402340,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
SK스퀘어,402340,2021,Q4,2021-FY_누적,사업보고서(FY누적)
SK스퀘어,402340,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
SK스퀘어,402340,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
SK스퀘어,402340,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
SK스퀘어,402340,2022,Q4,2022-FY_누적,사업보고서(FY누적)
SK스퀘어,402340,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
SK스퀘어,402340,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
SK스퀘어,402340,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),404.54,-5607.44,4473.92,404.54,-5607.44,4473.92
SK스퀘어,402340,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),22765.08,-23396.98,-13148.34
SK스퀘어,402340,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),4982.78,3237.85,3332.85,4982.78,3237.85,3332.85
SK스퀘어,402340,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),4685.66,7748.13,7288.16,4685.66,7748.13,7288.16
SK스퀘어,402340,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),4575.02,11619.84,11291.72,4575.02,11619.84,11291.72
SK스퀘어,402340,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),19066.11,39125.83,36505.15,4822.65,16520.01,14592.42
SK스퀘어,402340,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),4028.08,16523.23,16122.59,4028.08,16523.23,16122.59
SK스퀘어,402340,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),4065.94,14011.04,14471.14,4065.94,14011.04,14471.14
SK스퀘어,402340,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),4078.89,26455.08,24824.05,4078.89,26455.08,24824.05
SK스퀘어,402340,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),14115.21,87974.21,88186.95,1942.30,30984.86,32769.17
SK스퀘어,402340,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),3003.49,82782.95,83747.48,3003.49,82782.95,83747.48
쏘카,403550,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
쏘카,403550,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
쏘카,403550,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
쏘카,403550,2021,FY,2021-FY_누적,사업보고서(FY누적)
쏘카,403550,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
쏘카,403550,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
쏘카,403550,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),1170.4,116.3,34.2,1170.4,116.3,34.2
쏘카,403550,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),3975.6,95.2,-181.4
쏘카,403550,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),857.2,-49.9,-107.3,857.2,-49.9,-107.3
쏘카,403550,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),1038.6,16,-52.8,1038.6,16,-52.8
쏘카,403550,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),1127.2,-35.5,-107.6,1127.2,-35.5,-107.6
쏘카,403550,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),3984.7,-96.9,-423.3,961.7,-27.5,-155.6
쏘카,403550,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),905.8,-107.6,-167.4,905.8,-107.6,-167.4
쏘카,403550,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),1017.6,-66.5,-115.9,1017.6,-66.5,-115.9
쏘카,403550,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),1170,46.5,11.6,1170,46.5,11.6
쏘카,403550,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),4317.6,-98,-310.1,1224.2,29.6,-38.4
쏘카,403550,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),1315,14.1,-35.1,1315,14.1,-35.1
쏘카,403550,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),986.6,18.3,-17.8,986.6,18.3,-17.8
쏘카,403550,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),1118.1,68.1,15.9,1118.1,68.1,15.9
쏘카,403550,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),4707,232.5,-183.9,1287.3,132,-146.9
쏘카,403550,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),971.2,13.9,-87.9,971.2,13.9,-87.9
신한서부티엔디리츠,404990,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
신한서부티엔디리츠,404990,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
신한서부티엔디리츠,404990,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
신한서부티엔디리츠,404990,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),105.8,56.6,16.5
신한서부티엔디리츠,404990,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
신한서부티엔디리츠,404990,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),74.3,44.9,24.1,74.3,44.9,24.1
신한서부티엔디리츠,404990,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
신한서부티엔디리츠,404990,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),149.3,94.5,54.4
신한서부티엔디리츠,404990,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
신한서부티엔디리츠,404990,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),77.2,47.2,26.1,77.2,47.2,26.1
신한서부티엔디리츠,404990,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
신한서부티엔디리츠,404990,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),164.7,106.5,53.1
신한서부티엔디리츠,404990,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
신한서부티엔디리츠,404990,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),89.4,57.4,-6.7,89.4,57.4,-6.7
신한서부티엔디리츠,404990,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독)
신한서부티엔디리츠,404990,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),180.6,119.2,102.7
신한서부티엔디리츠,404990,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독)
신한서부티엔디리츠,404990,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),155.1,114.9,24.6,155.1,114.9,24.6
신한서부티엔디리츠,404990,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독)
신한서부티엔디리츠,404990,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),320.8,237.4,59.2
신한서부티엔디리츠,404990,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독)
KB발해인프라,415640,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
KB발해인프라,415640,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
KB발해인프라,415640,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
KB발해인프라,415640,2021,FY,2021-FY_누적,사업보고서(FY누적)
KB발해인프라,415640,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
KB발해인프라,415640,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
KB발해인프라,415640,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
KB발해인프라,415640,2022,FY,2022-FY_누적,사업보고서(FY누적)
KB발해인프라,415640,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
KB발해인프라,415640,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
KB발해인프라,415640,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
KB발해인프라,415640,2023,FY,2023-FY_누적,사업보고서(FY누적)
KB발해인프라,415640,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
KB발해인프라,415640,2024,Q2,2024-Q2_단독,반기보고서(Q2단독)
KB발해인프라,415640,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독)
KB발해인프라,415640,2024,FY,2024-FY_누적,사업보고서(FY누적)
KB발해인프라,415640,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독)
KB발해인프라,415640,2025,Q2,2025-Q2_단독,반기보고서(Q2단독)
KB발해인프라,415640,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독)
KB발해인프라,415640,2025,FY,2025-FY_누적,사업보고서(FY누적)
KB발해인프라,415640,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독)
코람코더원리츠,417310,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
코람코더원리츠,417310,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
코람코더원리츠,417310,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
코람코더원리츠,417310,2021,FY,2021-FY_누적,사업보고서(FY누적)
코람코더원리츠,417310,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
코람코더원리츠,417310,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
코람코더원리츠,417310,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
코람코더원리츠,417310,2022,FY,2022-FY_누적,사업보고서(FY누적),별도(OFS),68.9,45.3,26
코람코더원리츠,417310,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
코람코더원리츠,417310,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
코람코더원리츠,417310,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
코람코더원리츠,417310,2023,FY,2023-FY_누적,사업보고서(FY누적),별도(OFS),71.4,47.8,28.4
코람코더원리츠,417310,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
코람코더원리츠,417310,2024,Q2,2024-Q2_단독,반기보고서(Q2단독)
코람코더원리츠,417310,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독)
코람코더원리츠,417310,2024,FY,2024-FY_누적,사업보고서(FY누적),별도(OFS),74.2,51.4,33
코람코더원리츠,417310,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독)
코람코더원리츠,417310,2025,Q2,2025-Q2_단독,반기보고서(Q2단독)
코람코더원리츠,417310,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독)
코람코더원리츠,417310,2025,FY,2025-FY_누적,사업보고서(FY누적),별도(OFS),75.7,51,29.5
코람코더원리츠,417310,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독)
KB스타리츠,432320,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
KB스타리츠,432320,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
KB스타리츠,432320,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
KB스타리츠,432320,2021,FY,2021-FY_누적,사업보고서(FY누적)
KB스타리츠,432320,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
KB스타리츠,432320,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),121.9,-101.4,-263.5,121.9,-101.4,-263.5
KB스타리츠,432320,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),116.9,57.4,423.1,116.9,57.4,423.1
KB스타리츠,432320,2022,FY,2022-FY_누적,사업보고서(FY누적)
KB스타리츠,432320,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
KB스타리츠,432320,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),120.8,55.7,60.3,120.8,55.7,60.3
KB스타리츠,432320,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
KB스타리츠,432320,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),285.8,-214.3,-553.9
KB스타리츠,432320,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
KB스타리츠,432320,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),130.5,66.8,20.8,130.5,66.8,20.8
KB스타리츠,432320,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독)
KB스타리츠,432320,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),297.8,-268.4,-317.9
KB스타리츠,432320,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독)
KB스타리츠,432320,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),146.8,84.9,30.7,146.8,84.9,30.7
KB스타리츠,432320,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독)
KB스타리츠,432320,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),303.9,-724.5,-994.1
KB스타리츠,432320,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
대한조선,439260,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
대한조선,439260,2021,Q4,2021-FY_누적,사업보고서(FY누적)
대한조선,439260,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
대한조선,439260,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
대한조선,439260,2022,Q4,2022-FY_누적,사업보고서(FY누적)
대한조선,439260,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
대한조선,439260,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
대한조선,439260,2023,Q4,2023-FY_누적,사업보고서(FY누적)
대한조선,439260,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2024,Q2,2024-Q2_단독,반기보고서(Q2단독)
대한조선,439260,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독)
대한조선,439260,2024,Q4,2024-FY_누적,사업보고서(FY누적)
대한조선,439260,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),2960.48,624.67,436.83,2960.48,624.67,436.83
대한조선,439260,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),2739.73,664.89,658.17,2739.73,664.89,658.17
대한조선,439260,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),12281.28,2941.03,2487.75
대한조선,439260,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),3082.71,826.39,773.95,3082.71,826.39,773.95
HD현대마린솔루션,443060,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
HD현대마린솔루션,443060,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
HD현대마린솔루션,443060,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
HD현대마린솔루션,443060,2021,Q4,2021-FY_누적,사업보고서(FY누적)
HD현대마린솔루션,443060,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
HD현대마린솔루션,443060,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
HD현대마린솔루션,443060,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
HD현대마린솔루션,443060,2022,Q4,2022-FY_누적,사업보고서(FY누적)
HD현대마린솔루션,443060,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
HD현대마린솔루션,443060,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
HD현대마린솔루션,443060,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
HD현대마린솔루션,443060,2023,Q4,2023-FY_누적,사업보고서(FY누적)
HD현대마린솔루션,443060,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
HD현대마린솔루션,443060,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),4378.55,709.86,566.79,4378.55,709.86,566.79
HD현대마린솔루션,443060,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),4612.61,833.83,585.29,4612.61,833.83,585.29
HD현대마린솔루션,443060,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),17454.59,2717.30,2279.40
HD현대마린솔루션,443060,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),4855.98,830.07,633.18,4855.98,830.07,633.18
HD현대마린솔루션,443060,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),4677.22,830.10,529.97,4677.22,830.10,529.97
HD현대마린솔루션,443060,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),5131.76,935.96,797.52,5131.76,935.96,797.52
HD현대마린솔루션,443060,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),19827.01,3501.41,2695.71,5162.05,905.28,735.04
HD현대마린솔루션,443060,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),5746.09,933.94,981.39,5746.09,933.94,981.39
유니드비티플러스,446070,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
유니드비티플러스,446070,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
유니드비티플러스,446070,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
유니드비티플러스,446070,2021,FY,2021-FY_누적,사업보고서(FY누적)
유니드비티플러스,446070,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
유니드비티플러스,446070,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
유니드비티플러스,446070,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
유니드비티플러스,446070,2022,FY,2022-FY_누적,사업보고서(FY누적),별도(OFS),292.2,14.3,9.6
유니드비티플러스,446070,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),414.5,-7.9,-0.3,414.5,-7.9,-0.3
유니드비티플러스,446070,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),422.4,-12.9,-3.9,422.4,-12.9,-3.9
유니드비티플러스,446070,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),426.7,-15.5,17.5,426.7,-15.5,17.5
유니드비티플러스,446070,2023,FY,2023-FY_누적,사업보고서(FY누적),별도(OFS),1687.9,-40.7,8.6,424.3,-4.4,-4.7
유니드비티플러스,446070,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),510.9,-4.4,10.9,510.9,-4.4,10.9
유니드비티플러스,446070,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),519.9,35,38.3,519.9,35,38.3
유니드비티플러스,446070,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),458,0.5,15.4,458,0.5,15.4
유니드비티플러스,446070,2024,FY,2024-FY_누적,사업보고서(FY누적),별도(OFS),1948.9,30.5,64,460.1,-0.6,-0.6
유니드비티플러스,446070,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),450.9,-6.7,4.9,450.9,-6.7,4.9
유니드비티플러스,446070,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),412.2,-5.7,5.8,412.2,-5.7,5.8
유니드비티플러스,446070,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),별도(OFS),379.1,-14.4,-3.4,379.1,-14.4,-3.4
유니드비티플러스,446070,2025,FY,2025-FY_누적,사업보고서(FY누적),별도(OFS),1575.3,-91.5,-39.6,333.1,-64.7,-46.9
